etid,name,hv,cat,desc,datasheet
,74LS05,0,74 LS Series Logic ,HEX INVERTER WITH OPEN COLLECTOR OUTPUTS,
,74LS1G05,0,74 LS Series Logic ,SINGLE INVERTER WITH OPEN DRAIN OUTPUT,
,74LS06,0,74 LS Series Logic ,HEX INVERTER BUFFER/DRIVER WITH 30 V OPEN COLLECTOR OUTPUTS,
,74LS1G06,0,74 LS Series Logic ,SINGLE INVERTING BUFFER/DRIVER WITH OPEN DRAIN OUTPUT,
,74LS07,0,74 LS Series Logic ,HEX BUFFER/DRIVER WITH 30 V OPEN COLLECTOR OUTPUTS,
,74LS1G07,0,74 LS Series Logic ,SINGLE NON-INVERTING BUFFER/DRIVER WITH OPEN DRAIN OUTPUT,
,74LS08,0,74 LS Series Logic ,QUAD 2-INPUT AND GATE,
,74LS1G08,0,74 LS Series Logic ,SINGLE 2-INPUT AND GATE,
,74LS09,0,74 LS Series Logic ,QUAD 2-INPUT AND GATE WITH OPEN COLLECTOR OUTPUTS,
,74LS1G09,0,74 LS Series Logic ,SINGLE 2-INPUT AND GATE WITH OPEN DRAIN OUTPUT,
,74LS10,0,74 LS Series Logic ,TRIPLE 3-INPUT NAND GATE,
,74LS11,0,74 LS Series Logic ,TRIPLE 3-INPUT AND GATE,
,74LS12,0,74 LS Series Logic ,TRIPLE 3-INPUT NAND GATE WITH OPEN COLLECTOR OUTPUTS,
,74LS13,0,74 LS Series Logic ,DUAL SCHMITT TRIGGER 4-INPUT NAND GATE,
,74LS14,0,74 LS Series Logic ,HEX SCHMITT TRIGGER INVERTER,
,74LS1G14,0,74 LS Series Logic ,SINGLE SCHMITT TRIGGER INVERTER,
,74LS15,0,74 LS Series Logic ,TRIPLE 3-INPUT AND GATE WITH OPEN COLLECTOR OUTPUTS,
,74LS16,0,74 LS Series Logic ,HEX INVERTER BUFFER/DRIVER WITH 15 V OPEN COLLECTOR OUTPUTS,
,74LS17,0,74 LS Series Logic ,HEX BUFFER/DRIVER WITH 15 V OPEN COLLECTOR OUTPUTS,
,74LS1G17,0,74 LS Series Logic ,SINGLE SCHMITT-TRIGGER BUFFER,
,74LS18,0,74 LS Series Logic ,DUAL 4-INPUT NAND GATE WITH SCHMITT TRIGGER INPUTS,
,74LS19,0,74 LS Series Logic ,HEX SCHMITT TRIGGER INVERTER,
,74LS20,0,74 LS Series Logic ,DUAL 4-INPUT NAND GATE,
,74LS21,0,74 LS Series Logic ,DUAL 4-INPUT AND GATE,
,74LS22,0,74 LS Series Logic ,DUAL 4-INPUT NAND GATE WITH OPEN COLLECTOR OUTPUTS,
,74LS23,0,74 LS Series Logic ,EXPANDABLE DUAL 4-INPUT NOR GATE WITH STROBE,
,74LS24,0,74 LS Series Logic ,QUAD 2-INPUT NAND GATE GATES WITH SCHMITT TRIGGER LINE-RECEIVER INPUTS.,
,74LS25,0,74 LS Series Logic ,DUAL 4-INPUT NOR GATE WITH STROBE,
,74LS26,0,74 LS Series Logic ,QUAD 2-INPUT NAND GATE WITH 15 V OPEN COLLECTOR OUTPUTS,
,74LS27,0,74 LS Series Logic ,TRIPLE 3-INPUT NOR GATE,
,74LS1G27,0,74 LS Series Logic ,SINGLE 3-INPUT NOR GATE,
